Year,Title,Director,Cast,Genre
2007,Ezra,Newton I. Aduaka,Mamoudu Turay Kamara,Drama
2007,Europe by Road.. Miles Away from Africa 1 and 2,Ikenna Ezeugwu,Kevin Bucks Leo Chimmezie Chris Onyenso Rahim Kas,
2007,Final Hour 1 and 2,Afam Okereke,Oge Okoye Nonso Diobi Uche Jombo Tonto Dikeh,
2007,Irapada (Redemption),Kunle Afolayan Biodun Aleja,Kunle Afolayan Deola Oloyede Jotham Ayuba Angela Philips,
2007,Letters to a Stranger,Fred Amata,Genevieve Nnaji Joke Silva Yemi Blaq,Romantic comedy
2007,Last Messiah,Moses Ebere,Nkem Owoh Fabian Adibe Roy Denani Miriam Apolo,
2007,Made in Cambridge,Mac-Collins Chidebe,Nkem Owoh Louisa Nwobodo Funmi Holder Gardiel Onwudiwe,
2007,The Faculty,Ugo Ugbor,Ramsey Nouah Jim Iyke Oge Okoye McMorris Ndubueze,
2008,Hottest Babes 1 and 2,Emeka Nwabueze,Oge Okoye Francis Duru Chika Ike Uche Jombo,
2008,Jenifa 1 and 2,Muhydeen S. Ayinde,Funke Akindele Ronke Odusanya Mosunmola Filani Iyabo Ojo,Comedy
2008,Liquid Black Gold,Ikenna Emma Aniekwe,Sam Dede Justus Esiri Enebeli Elebuwa Gentle Jack,
2008,Through the Glass,Stephanie Okereke,Stephanie Okereke Pascal Atuma,Comedy
2010,Bursting Out,Desmond Elliot,Genevieve Nnaji Majid Michel Desmond Elliot Susan Peters Nse Ikpe Etim,Drama
2010,Relentless,Andy Amadi Okoroafor,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}Gideon OkekeNneka EgbunaJimmy Jean-LouisTope Oshin Ogun",Drama
2010,Aramotu,Niji Akanni,Idiat Sobande Kayode Odumosu Ireti Osayemi-Bakare Ayo Olabiyi Gabriel Afolayan Bisi Komolafe,Drama
2010,Between Kings and Queens,Joy Dickson,Jim Iyke Nakia Burrise DaJuan Johnson,Romance / Action
2010,Men in Love,John Dumelo,Tonto Dike Muna Obiekwe Halima Abubakar,Drama
2010,Anchor Baby,Lonzo Nzekwe,Omoni Oboli Sam Sarpong Terri Oliver,Drama / thriller
2010,Good Girls Gone Bad 1-4,Nonso Emekaekwue,Oge Okoye Nonso Diobi Chika Ike Halimah Abubakar,
2010,"Ijé, the Journey",Chineze Anyaene,Genevieve Nnaji Odalys García Omotola Jalade-Ekeinde Ulrich Que Jeff Swarthout,Drama
2010,Inale,Jeta Amata,Caroline ChikezieHakeem Kae-KazimNse Ikpe EtimIni EdoOmawumi Megbele,
2010,Braids on a Bald Head,Ishaya Bako,,Drama
2010,Holding Hope,Desmond Elliot,Nadia Buari Uche Jombo Desmond Elliot,Drama
2010,Tango With Me,Mahmood Ali-Balogun,Genevieve Nnaji Joke Silva Joseph Benjamin,Drama
2011,Ibu in Campus 1-4,Charles Inojie,John Okafor Charles Inojie Okey Bakassi Cynthia Okereke,
2011,Nkwocha,Stan Amadi,Chiwetalu AguQueen NwaokoyeUche Elendu Walter,
2011,The Mirror Boy,Obi Emelonye,Genevieve Nnaji Osita Iheme Edward Kagutuzi Fatima Jabbe,Drama / fantasy / adventure
2011,Two Brides and a Baby,Teco Benson,OC Ukeje Stella Damasus-Aboderin Kalu Ikeagwu Chelsea Eze,Romantic drama
