,title,director,stars,genre,release_date,company
4296,The Barber,"{""Ben Cassie""}","{""Kelvin Ahamefuna"",""Ademola Amoo"",""Chike Daniel"",""Kenechukwu Ezeh"",""Fiona Garba"",""Osas Iyamu"",""Precious Ogbonnaya""}",{Comedy},2022-04-01,"{""One & Two Productions""}"
4297,Good Mother,"{""Amayo Uzo Philips""}","{""Stephen Ahanaonu"",""Ifeanyi Egbulie"",""Osita Iheme"",""Chidi Ihesie"",""Amaechi Muonagor"",""Rita Nzelu"",""Susan Peters""}",{Drama},2003-07-01,"{""Abeze Holdings"",""B-Kino Movies""}"
4298,Emotional Tears 2,"{""Tarila Thompson""}","{""Genevieve Nnaji"",""Sola Sobowale"",""Jim Iyke"",""Ashley Nwosu"",""Georgina Onuoha"",""Uche Iwuji"",""Sam Obiakeme"",""Chinyere Nwabueze"",""Sylvester Madu"",""Doreen Oyesanya"",""Sil Alexandra"",""Kevin Ikeduba"",""Kelvin Uvo"",""Ken Odurukwe"",""Hakeem Rahman"",""Blessing Onuoha"",""Peace Ekwueme""}",{Drama},2003-06-01,"{""Elonel International Ltd.""}"
4299,Ikedi,"{""Chris Eneaji Eneng""}","{""Ijeoma Grace Agu"",""Chris Akwarandu"",""Arsenal Bruno"",""Kachi Nnochiri"",""Ebube Nwagbo"",""Sambasa Nzeribe"",""Anita Simon""}",{Drama},2019-12-01,"{""Rok Studios"",""WH Productions""}"
4300,Majesin (Unfledged),"{""Dayo Farore""}","{""Deborah Adediji"",""Aminat Adelana"",""Yusrol Azim"",""Pamilerin Bakre"",""Otunba Ibukun Fadayomi"",""Ibrahim Moruff"",""Boluwatife Oladepo"",""Oriola Quadri""}","{Short,Drama,Family}",2020-08-01,"{""Sting Media Group""}"
4301,Bitter Generation,"{""Ifeanyi Ogbonna""}","{""Olu Jacobs"",""Ini Edo"",""Oge Okoye"",""Ali Nuhu"",""Augusta Isaac"",""Uju Aroh"",""Stanley Ebonine"",""Stellamaris Emore"",""Mike Godson"",""Nazareth Jesse"",""Ed Nnasor"",""Junior Pope Odonwodo"",""Nonso Okereke"",""Emeka Okoye"",""Ifeanyi Onu"",""Kelvin Uvo""}",{Drama},2010-08-01,"{""Soul Rise Production""}"
4302,After My Heart,"{""Afam Okereke""}","{""Daniel Agadaga"",""Escort Akama"",""Chioma Chukwuka Akpotha"",""Tony Alu"",""Rita Arum"",""Tchidi Chikere"",""Emilia Dikeh"",""Geraldine Ekeocha"",""Peace Ezenna"",""Chika Ife"",""Emeka Ike"",""Tochukwu Mba"",""Camilla Mberekpe"",""John McJohn"",""Amaechi Muonagor"",""Dan Nkolagu"",""Iyke Nkwuenu"",""Hycent Nweke""}",{Drama},2008-09-01,"{""De-Zeen International""}"
4303,Anti Crime,"{""Kaycee Oguejiofor""}","{""Grace Amah"",""Kenneth Chukwu"",""Uche Ebeleagu"",""Duro Michael"",""Amaechi Muonagor"",""Uzor Ndubuizu"",""Victor Osuagwu""}",{Drama},2006-06-01,"{""Filmark Productions""}"
4304,Iwa pele,"{""Adebayo Tijani""}","{""Opeyemi Ayeola"",""Fathia Balogun"",""Fausat Balogun"",""Yemi Solade""}",{Drama},2006-07-01,"{""Corporate Pictures""}"
4305,Ovy's Voice,"{""Dimeji Ajibola""}","{""Bisola Aiyeola"",""Shaffy Bello"",""Casmir Chibuike"",""Mofe Duncan"",""Uche Ogbodo"",""Vivian Otoriotubu"",""Ayoka Thompson""}",{Drama},2017-03-01,"{""ShutterSpeed Projects""}"
4306,Hammer,"{""Emem Isong""}","{""Adebowale Adedayo"",""Bimbo Ademoye"",""Ivy Antiev"",""Fontánne Bassey"",""Etinosa Idemudia"",""Ese Idia"",""Linda Iheme"",""Chris Iheuwa"",""James Jibunma"",""Deyemi Okanlawon"",""Ben Lugo Touitou""}",{Comedy},2022-08-01,"{""Royal Arts Academy""}"
4307,Breadwinner,"{""Tope Adebayo""}","{""Femi Adebayo"",""Tope Adebayo"",""Folarin Ajileye"",""Adebisi Babatunde"",""Chidi Gabriel"",""Adebayo Kelvin"",""Joy Nmezi"",""Nelson Orah"",""Toheeb Oseni"",""Tunji Rocks Salam"",""Yemi Solade"",""Udeh Sunday"",""Shuntelle Uweamba"",""Genny Uzoma"",""Ikechukwu Uzoukwu"",""Oby Olebara Uzoukwu"",""Urenna Uzoukwu"",""Folorunsho Yinusa""}",{Comedy},2018-08-01,"{""Obylicious Empire Productions""}"
4308,The Price,"{""Anthony Onah""}","{""Lucy Griffiths"",""Michael Hyatt"",""Bill Sage"",""Peter Vack"",""Aml Ameen"",""Craig muMs Grant"",""Hope Olaidé Wilson"",""Dana Drori"",""Tru Collins"",""Dave Register"",""David J. Paul"",""Brandi Nicole Wilson"",""Souleymane Sy Savane"",""Braian Rivera Jimenez"",""Jacob Berger"",""Ben Gougeon"",""Vee Kumari"",""Nancy Stone""}",{Drama},2017-11-01,"{""Hacienda Motion Picture Company"",""Infinitum Productions"",""Ten on 5 Productions""}"
4309,Dera,"{""Akinlosotu Femi Depsy""}","{""Chelsea Eze"",""Jane Gam-Dede"",""Ifeanyi Kalu"",""Darlene Odogbili"",""Susan Okolo"",""Stephanie Zibili""}",{Drama},2020-10-01,"{""Lod Houz Films""}"
